ylab,xlab,control,beta,se_hc3,p_value_hc3,r2_adjusted,n,shapiro_p,durbin_watson_stat,breusch_pagan_p
Trust in emergency services and authorities (%),Paid Staff (%),log1p_funding_per_100k_unocha,1.3913178240047988,0.8430970483303241,0.11724498790902978,0.13622034405352046,20,0.49711325376655174,1.9253159627557046,0.29440956126853757
Trust in emergency services and authorities (%),Paid Staff (%),natural_hazard_inform,1.542942845460374,0.47550135208495,0.0038773630005753193,0.3217600509097094,24,0.8824573645753346,2.0464366677073587,0.35564561411100276
Trust in emergency services and authorities (%),Paid Staff (%),hdi_undp,0.19920137139788924,0.9905701985296397,0.8425572179480922,0.33703131720460866,24,0.36259098471831885,1.8433460436391254,0.8343641294905555
INFORM Coping Capacity (%),Volunteers (%),None (bivariate),7.485031185697877,0.7240193806914694,3.154334942708139e-18,0.2778607943141652,120,0.06824099180414721,1.9007111207525957,0.046027383055675886
INFORM Coping Capacity (%),Volunteers (%),log1p_funding_per_100k_unocha,5.729459605869554,0.9856755967517197,7.214706334573325e-8,0.33941673690218277,104,0.6939658087917578,1.9118726290788726,0.029223443732062978
INFORM Coping Capacity (%),Volunteers (%),natural_hazard_inform,7.4618072824135,0.858714795510784,2.5902788881361648e-14,0.27174009205605265,120,0.058338711044759524,1.8997743972197025,0.03223517950137759
INFORM Coping Capacity (%),Volunteers (%),hdi_undp,1.4213534365113212,0.5567015750622749,0.011983977216680201,0.8286163692916453,118,0.2528414129652714,1.722067110070171,0.2762506227328328
ND-GAIN Readiness (%),Volunteers (%),None (bivariate),7.224336595202892,0.6381988664227713,2.286993372929742e-20,0.4664903826061585,116,0.23856421788920368,2.0488731571402625,0.5644839557299627
ND-GAIN Readiness (%),Volunteers (%),log1p_funding_per_100k_unocha,5.623876993075584,0.8362745636378666,1.0697338824169069e-9,0.4927098242286434,104,0.004038283673910486,2.2197423475593943,0.7685311371769418
ND-GAIN Readiness (%),Volunteers (%),natural_hazard_inform,6.924621899461018,0.6956911192136556,3.871702028906802e-17,0.4781470812472701,116,0.6146822788721672,2.0477222267164823,0.4892852515851916
ND-GAIN Readiness (%),Volunteers (%),hdi_undp,3.5843128177194434,0.46587909202176525,5.801369578734079e-12,0.7961809664285489,116,0.5786969458703494,1.6608730981779614,0.8013675995281221
ND-GAIN Adaptive Capacity (%),Volunteers (%),None (bivariate),7.163503738750815,0.8093561631828107,1.3007012725101317e-14,0.30378725231546677,116,0.014245632266016998,2.109709798450616,0.09304478559085591
ND-GAIN Adaptive Capacity (%),Volunteers (%),log1p_funding_per_100k_unocha,5.189374646973263,1.0064920930714958,1.2593691993846454e-6,0.38038693406571267,104,0.045732454054258596,2.1427312711141493,0.05203785980864643
ND-GAIN Adaptive Capacity (%),Volunteers (%),natural_hazard_inform,7.114164766334851,0.8941359159399279,1.4971846115701168e-12,0.2979229496942605,116,0.009732579616923118,2.107035675790499,0.029050343124090744
ND-GAIN Adaptive Capacity (%),Volunteers (%),hdi_undp,1.4367924049582752,0.5069627242562101,0.005444510477971598,0.851266412600407,116,0.7604919245933932,2.3050612429440136,0.6017611003778781
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",Volunteers (%),None (bivariate),-0.8848626740440334,0.15539665511208398,9.232043792883646e-8,0.17464942401872252,120,0.010887577264472809,2.0100473883000944,0.6272971826723107
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",Volunteers (%),log1p_funding_per_100k_unocha,-0.7306734912682322,0.21064562803885337,7.700422492141819e-4,0.18993442426265805,104,7.299377394881018e-4,2.2046527377205902,0.7707663903544406
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",Volunteers (%),natural_hazard_inform,-0.7497197182752041,0.17215221516739973,2.8687173479582098e-5,0.24728798245284078,120,0.23600187853711604,1.9999744477274433,0.00702923390680141
"EM-DAT realized disaster impacts (log1p, 2015-2024 average, per 100k)",Volunteers (%),hdi_undp,-0.34153365600570185,0.17001940314872735,0.046901826886876594,0.3737735434915388,118,0.04354067133832276,2.1334019603202616,0.028398914722910208
Reliance on non-profits in first days of crisis (%),Volunteers (%),None (bivariate),1.676219108922883,0.8447939973473115,0.059849664479123585,0.032332524463131174,24,0.10379030119661584,1.936030767332688,0.35915538813899894
Reliance on non-profits in first days of crisis (%),Volunteers (%),log1p_funding_per_100k_unocha,0.9159440359195576,0.8225699288096874,0.28098443272750795,0.24106243175881936,20,0.00604221794758263,2.0648353985341306,0.5739700653322488
Reliance on non-profits in first days of crisis (%),Volunteers (%),natural_hazard_inform,1.831212618255564,1.3457092836883693,0.188010173804015,0.18487011662230102,24,0.09603637281332492,1.7693316025124255,0.6910580196914248
Reliance on non-profits in first days of crisis (%),Volunteers (%),hdi_undp,1.0659191400337436,1.185497869522545,0.37877697574363944,-0.0030427684066223204,24,0.10919499392907113,1.8514460746163952,0.6506164502760072
Trust in emergency services and authorities (%),Volunteers (%),None (bivariate),1.8058604856783178,0.8056794270120204,0.03541439030937897,0.12599412925730902,24,0.6072862329352295,2.056221545060227,0.6149317757376884
Trust in emergency services and authorities (%),Volunteers (%),log1p_funding_per_100k_unocha,1.1836371610709415,1.1583426679460647,0.32118032992704104,0.037587918753853033,20,0.8506893964816564,2.1168725870679763,0.23747717455868453
Trust in emergency services and authorities (%),Volunteers (%),natural_hazard_inform,1.725771568107231,0.7764836705767157,0.037362211042840064,0.18508052171517098,24,0.7001889199380156,2.131085320667227,0.6140134874098953
Trust in emergency services and authorities (%),Volunteers (%),hdi_undp,-0.3515311323251474,1.8476030461691668,0.8509299923509206,0.3383795152236324,24,0.2842945162087964,1.9006251597404609,0.2965514040485018
